episode,agent,reward,steps
87,agente_fixo,91.97,95
87,agente_q,0.05999999999999939,95
88,agente_fixo,77.97,81
88,agente_q,0.1999999999999995,81
89,agente_fixo,26.97,30
89,agente_q,0.71,30
90,agente_fixo,61.97,65
90,agente_q,0.35999999999999965,65
91,agente_fixo,2.9699999999999998,6
91,agente_q,0.95,6
92,agente_fixo,17.97,21
92,agente_q,0.7999999999999999,21
93,agente_fixo,14.969999999999999,18
93,agente_q,0.83,18
94,agente_fixo,107.97,111
94,agente_q,-0.10000000000000075,111
95,agente_fixo,18.97,22
95,agente_q,0.7899999999999999,22
96,agente_fixo,10.969999999999999,14
96,agente_q,0.87,14
97,agente_fixo,31.97,35
97,agente_q,0.6599999999999999,35
98,agente_fixo,21.97,25
98,agente_q,0.7599999999999999,25
99,agente_fixo,30.97,34
99,agente_q,0.6699999999999999,34
100,agente_fixo,42.97,46
100,agente_q,0.5499999999999998,46
101,agente_fixo,141.97,145
101,agente_q,-0.44000000000000106,145
102,agente_fixo,14.969999999999999,18
102,agente_q,0.83,18
103,agente_fixo,13.969999999999999,17
103,agente_q,0.84,17
104,agente_fixo,112.97,116
104,agente_q,-0.1500000000000008,116
105,agente_fixo,27.97,31
105,agente_q,0.7,31
106,agente_fixo,49.97,53
106,agente_q,0.47999999999999976,53
107,agente_fixo,24.97,28
107,agente_q,0.73,28
108,agente_fixo,24.97,28
108,agente_q,0.73,28
109,agente_fixo,103.97,107
109,agente_q,-0.06000000000000072,107
110,agente_fixo,32.97,36
110,agente_q,0.6499999999999999,36
111,agente_fixo,49.97,53
111,agente_q,0.47999999999999976,53
112,agente_fixo,15.969999999999999,19
112,agente_q,0.82,19
113,agente_fixo,22.97,26
113,agente_q,0.75,26
114,agente_fixo,12.969999999999999,16
114,agente_q,0.85,16
115,agente_fixo,41.97,45
115,agente_q,0.5599999999999998,45
116,agente_fixo,73.97,77
116,agente_q,0.23999999999999955,77
117,agente_fixo,21.97,25
117,agente_q,0.7599999999999999,25
118,agente_fixo,6.97,10
118,agente_q,0.91,10
119,agente_fixo,41.97,45
